nm/pH,0.3,3.45,3.79,4.3,4.7,5.07,13
511,0.1735,0.1881,0.2448,0.287,0.3491,0.3491,0.3611
512,0.1675,0.185,0.2449,0.2921,0.3577,0.3577,0.3714
513,0.1617,0.182,0.2451,0.2975,0.3656,0.3656,0.3819
514,0.1566,0.1795,0.2455,0.3027,0.374,0.374,0.3924
515,0.1504,0.1768,0.2462,0.3089,0.3837,0.3837,0.4042
516,0.1446,0.1745,0.2476,0.3158,0.3945,0.3945,0.4168
517,0.1392,0.1723,0.2484,0.3214,0.4034,0.4034,0.428
518,0.1343,0.1705,0.2498,0.3282,0.4135,0.4135,0.4396
519,0.1294,0.1688,0.2514,0.3346,0.4233,0.4233,0.4523
520,0.1252,0.1676,0.2533,0.3404,0.4322,0.4322,0.4631
521,0.1204,0.1663,0.2554,0.3479,0.4431,0.4431,0.4755
522,0.1152,0.1653,0.2583,0.3567,0.4564,0.4564,0.4916
523,0.1102,0.1644,0.2618,0.3657,0.4694,0.4694,0.5072
524,0.1059,0.1639,0.265,0.3746,0.4822,0.4822,0.5224
525,0.1018,0.1637,0.2687,0.3837,0.4954,0.4954,0.538
526,0.0979,0.1638,0.2725,0.3928,0.5085,0.5085,0.553
527,0.0943,0.1638,0.2764,0.4019,0.5213,0.5213,0.5682
528,0.0915,0.1643,0.2799,0.4096,0.5316,0.5316,0.5804
529,0.0893,0.165,0.2837,0.4169,0.5428,0.5428,0.5926
530,0.0866,0.1658,0.288,0.4261,0.5545,0.5545,0.6071
531,0.0838,0.167,0.2926,0.4361,0.5681,0.5681,0.6233
532,0.0811,0.1684,0.2983,0.4467,0.5838,0.5838,0.6403
533,0.0783,0.1703,0.3049,0.459,0.601,0.601,0.6597
534,0.0758,0.1721,0.3109,0.471,0.6167,0.6167,0.6779
535,0.0737,0.1739,0.3169,0.482,0.632,0.632,0.6949
536,0.0717,0.1759,0.3222,0.4924,0.6468,0.6468,0.7111
537,0.0698,0.178,0.3286,0.5039,0.6624,0.6624,0.7293
538,0.0675,0.1808,0.3364,0.5181,0.6813,0.6813,0.7509
539,0.0653,0.1838,0.3443,0.5318,0.7006,0.7006,0.7729
540,0.0633,0.1865,0.3513,0.5452,0.7176,0.7176,0.7925
541,0.0615,0.1894,0.3585,0.5577,0.7352,0.7352,0.8122
542,0.0603,0.1919,0.3648,0.569,0.7505,0.7505,0.8291
543,0.0589,0.1941,0.3711,0.5794,0.7648,0.7648,0.8449
544,0.0576,0.1969,0.3777,0.5913,0.78,0.78,0.8628
545,0.056,0.2,0.3856,0.6044,0.7978,0.7978,0.8835
546,0.0546,0.2035,0.3934,0.6186,0.8166,0.8166,0.9031
547,0.0532,0.2065,0.4009,0.6313,0.8345,0.8345,0.9236
548,0.0518,0.2095,0.4078,0.6433,0.8495,0.8495,0.9414
549,0.0506,0.2126,0.4156,0.6563,0.8667,0.8667,0.9613
550,0.0496,0.2162,0.4231,0.67,0.8845,0.8845,0.981
551,0.0484,0.2195,0.4311,0.6827,0.9022,0.9022,1.0003
552,0.0473,0.2231,0.4398,0.6968,0.9213,0.9213,1.0217
553,0.0463,0.2267,0.4476,0.7104,0.9385,0.9385,1.0415
554,0.0452,0.2296,0.455,0.7223,0.955,0.955,1.0604
555,0.0444,0.2336,0.463,0.7361,0.9722,0.9722,1.0803
556,0.0436,0.2374,0.4716,0.75,0.9913,0.9913,1.1012
557,0.0428,0.2413,0.4803,0.7647,1.0103,1.0103,1.1224
558,0.0419,0.2454,0.4886,0.7789,1.0298,1.0298,1.1439
559,0.041,0.2492,0.4977,0.7928,1.0481,1.0481,1.1648
560,0.0405,0.2539,0.5073,0.8088,1.0694,1.0694,1.1882
